district_id,district,region_id,region,tbnot_2022,pop_1k,urban_sc,room_sc,foodsev_sc,inc_100k,inc_100k_lo,inc_100k_hi,inc_100k_reg,cdr,cdr_lo,cdr_hi,cdr_reg,hc_facilities,hc_fac_100k,hc_not,whocomp
PK309,Kharmang,PK3,Gilgit-Baltistan,6,62.41,1,1,1,162,118,213,162,0.06,0.05,0.08,0.96,1,1.6,6,0
PK310,Shigar,PK3,Gilgit-Baltistan,22,85.104,1,1,1,162,118,213,162,0.16,0.12,0.22,0.96,1,1.18,22,0
PK401,Islamabad,PK4,Islamabad,1550,2549.994,0.82,1,1,230,168,303,230,0.26,0.2,0.36,0.26,10,0.39,155,0
PK501,Abbottabad,PK5,Khyber Pakhtun Khwa,1534,1486.127,0.87,1.12,1.37,256,186,336,269,0.4,0.31,0.55,0.32,9,0.61,170.44,0
PK502,Bajaur,PK5,Khyber Pakhtun Khwa,335,1283.341,1,1.21,1.38,322,235,424,269,0.08,0.06,0.11,0.32,4,0.31,83.75,1
PK503,Bannu,PK5,Khyber Pakhtun Khwa,1874,1348.657,0.98,1.14,1.41,303,221,398,269,0.46,0.35,0.63,0.32,6,0.44,312.33,1
PK504,Batagram,PK5,Khyber Pakhtun Khwa,461,534.786,1,1.14,1.67,367,267,482,269,0.23,0.18,0.32,0.32,5,0.93,92.2,1
PK505,Buner,PK5,Khyber Pakhtun Khwa,485,1042.766,1,1.17,1.37,307,224,404,269,0.15,0.12,0.21,0.32,9,0.86,53.89,1
PK506,Charsadda,PK5,Khyber Pakhtun Khwa,1516,1823.234,0.9,1.27,1.48,323,236,425,269,0.26,0.2,0.35,0.32,11,0.6,137.82,1
PK507,Chitral,PK5,Khyber Pakhtun Khwa,239,489.1,0.93,1.17,1.27,269,196,353,269,0.18,0.14,0.25,0.32,12,2.45,19.92,1
PK509,Dera Ismail Khan,PK5,Khyber Pakhtun Khwa,1929,1927.859,0.87,1.13,1.15,216,157,283,269,0.46,0.35,0.64,0.32,12,0.62,160.75,0
PK510,Hangu,PK5,Khyber Pakhtun Khwa,1032,591.569,0.88,1.17,1.2,237,173,312,269,0.74,0.56,1.01,0.32,6,1.01,172,0
PK511,Haripur,PK5,Khyber Pakhtun Khwa,917,1105.8,0.92,1.12,1.42,281,205,369,269,0.3,0.22,0.41,0.32,11,0.99,83.36,1
PK512,Karak,PK5,Khyber Pakhtun Khwa,688,804.193,0.96,1.12,1.18,245,178,322,269,0.35,0.27,0.48,0.32,11,1.37,62.55,0
PK513,Khyber ,PK5,Khyber Pakhtun Khwa,615,1152.528,0.94,1.1,1.15,229,167,301,269,0.23,0.18,0.32,0.32,3,0.26,205,0
PK514,Kohat,PK5,Khyber Pakhtun Khwa,1434,1153.851,0.84,1.26,1.3,264,193,348,269,0.47,0.36,0.65,0.32,9,0.78,159.33,1
PK517,Kohistan,PK5,Khyber Pakhtun Khwa,308,896.524,1,1.1,1.56,332,241,436,269,0.1,0.08,0.14,0.32,6,0.67,51.33,1
PK518,Kurram,PK5,Khyber Pakhtun Khwa,404,674.368,0.96,1.17,1.22,264,192,347,269,0.23,0.17,0.31,0.32,3,0.44,134.67,0
PK519,Lakki Marwat,PK5,Khyber Pakhtun Khwa,1533,1020.675,0.94,1.15,1.28,267,194,351,269,0.56,0.43,0.77,0.32,9,0.88,170.33,1
PK520,Lower Dir,PK5,Khyber Pakhtun Khwa,744,1722.791,0.98,1.15,1.46,318,232,418,269,0.14,0.1,0.19,0.32,9,0.52,82.67,1
PK521,Malakand,PK5,Khyber Pakhtun Khwa,688,813.756,0.95,1.23,1.19,268,195,353,269,0.32,0.24,0.43,0.32,10,1.23,68.8,1
PK522,Mansehra,PK5,Khyber Pakhtun Khwa,1340,1758.416,0.95,1.13,1.3,268,195,352,269,0.28,0.22,0.39,0.32,15,0.85,89.33,1
PK523,Mardan,PK5,Khyber Pakhtun Khwa,2140,2695.395,0.88,1.23,1.42,296,215,389,269,0.27,0.2,0.37,0.32,13,0.48,164.62,1
PK524,Mohmand,PK5,Khyber Pakhtun Khwa,201,509.801,1,1.18,1.49,340,248,447,269,0.12,0.09,0.16,0.32,4,0.78,50.25,1
